ALGORITHM,ELEMENT ARRAY TYPE,ARRAY ORDER,START TIME,END TIME,ELAPSED TIME
PassPerItem,int,random,153003413079123,153003418321103,5241980
UntilNoChange,int,random,153003419105951,153003423920295,4814344
WhileNeeded,int,random,153003424119309,153003427596254,3476945
PassPerItem,int,random,153003427883913,153003433398297,5514384
UntilNoChange,int,random,153003433614416,153003438402030,4787614
WhileNeeded,int,random,153003438614464,153003442004255,3389791
PassPerItem,int,random,153003442269379,153003447557119,5287740
UntilNoChange,int,random,153003447706141,153003452665595,4959454
WhileNeeded,int,random,153003452846313,153003456217098,3370785
PassPerItem,int,random,153003456566573,153003461872823,5306250
UntilNoChange,int,random,153003462031662,153003467175224,5143562
WhileNeeded,int,random,153003467403197,153003471093642,3690445
PassPerItem,int,random,153003471464989,153003476932651,5467662
UntilNoChange,int,random,153003477098398,153003482122561,5024163
WhileNeeded,int,random,153003482281429,153003485738909,3457480
PassPerItem,int,random,153003486079757,153003491509009,5429252
UntilNoChange,int,random,153003491692660,153003497162252,5469592
WhileNeeded,int,random,153003497371903,153003500960685,3588782
PassPerItem,int,random,153003501351559,153003506840033,5488474
UntilNoChange,int,random,153003507053839,153003512140424,5086585
WhileNeeded,int,random,153003512289278,153003515771165,3481887
PassPerItem,int,random,153003516144174,153003521620747,5476573
UntilNoChange,int,random,153003521807345,153003526942711,5135366
WhileNeeded,int,random,153003527110609,153003530600639,3490030
PassPerItem,int,random,153003530902514,153003536414801,5512287
UntilNoChange,int,random,153003536604518,153003541649282,5044764
WhileNeeded,int,random,153003541784089,153003545282317,3498228
PassPerItem,int,random,153003545581614,153003550985675,5404061
UntilNoChange,int,random,153003551194932,153003556378763,5183831
WhileNeeded,int,random,153003556549347,153003560041506,3492159
PassPerItem,int,random,153003560294745,153003565856989,5562244
UntilNoChange,int,random,153003566095690,153003571235051,5139361
WhileNeeded,int,random,153003571448156,153003574933640,3485484
PassPerItem,int,random,153003575249111,153003580680031,5430920
UntilNoChange,int,random,153003580800768,153003585934197,5133429
WhileNeeded,int,random,153003586086585,153003589572621,3486036
PassPerItem,int,random,153003589830550,153003595301188,5470638
UntilNoChange,int,random,153003595414573,153003600521451,5106878
WhileNeeded,int,random,153003600664981,153003604204054,3539073
PassPerItem,int,random,153003604511145,153003609986942,5475797
UntilNoChange,int,random,153003610144427,153003615089469,4945042
WhileNeeded,int,random,153003615293643,153003618873468,3579825
PassPerItem,int,random,153003619178879,153003624646192,5467313
UntilNoChange,int,random,153003624765651,153003629782532,5016881
WhileNeeded,int,random,153003629890740,153003633549705,3658965
PassPerItem,int,random,153003633849275,153003639285163,5435888
UntilNoChange,int,random,153003639405982,153003644315764,4909782
WhileNeeded,int,random,153003644401452,153003647767676,3366224
PassPerItem,int,random,153003647997396,153003653545128,5547732
UntilNoChange,int,random,153003653691986,153003658552109,4860123
WhileNeeded,int,random,153003658661539,153003662029572,3368033
PassPerItem,int,random,153003662256539,153003667748433,5491894
UntilNoChange,int,random,153003667897728,153003672959165,5061437
WhileNeeded,int,random,153003673080429,153003676552380,3471951
PassPerItem,int,random,153003676786469,153003682812534,6026065
UntilNoChange,int,random,153003683022348,153003688093532,5071184
WhileNeeded,int,random,153003688208670,153003691796626,3587956
PassPerItem,int,random,153003692087440,153003697648147,5560707
UntilNoChange,int,random,153003697820573,153003702743470,4922897
WhileNeeded,int,random,153003702867127,153003706336066,3468939
PassPerItem,int,random,153003706554532,153003711934041,5379509
UntilNoChange,int,random,153003712035065,153003716821727,4786662
WhileNeeded,int,random,153003716943822,153003720232199,3288377
PassPerItem,int,random,153003720460889,153003725760127,5299238
UntilNoChange,int,random,153003725855055,153003730693453,4838398
WhileNeeded,int,random,153003730773701,153003734127553,3353852
PassPerItem,int,random,153003734346427,153003739592654,5246227
UntilNoChange,int,random,153003739678492,153003744450375,4771883
